id,name,floor,wing,place
1,Подвал вход центр,0,Центр,6
2,Подвал зап вых ЖД,0,Правое,9
3,0й Этаж Правая Лестница,0,Правое,9
4,0й Этаж Левая Лестница,0,Левое,1
5,Подвал Коридор Кафе,0,Правое,10
6,Подвал Коридор Лев крыло,0,Левое,0
7,Запасной выход Правый,0,Правое,9
8,0й Этаж Лифтовая,0,Центр,5
9,Подвал Кабинет 06/1,0,Левое,3
10,Подвал Кабинет 07/1,0,Левое,2
11,Подвал Коридор Центр,0,Центр,6
12,Левый коридор Выход,0,Левое,0
13,Подвал Кабинет 06/2,0,Левое,3
14,Подвал Кабинет 07/2,0,Правое,2
15,Запасной выход Левый,0,Левое,1
16,0й Этаж Буфет,0,Правое,11
17,Холл Вход Правая,1,Центр,21
18,Холл Вход Левая,1,Центр,21
19,Холл Турникет 3-4,1,Центр,21
20,Холл Турникет 1-2,1,Центр,21
21,Вахта Охрана,1,Центр,22
22,1й Этаж у лифта,1,Центр,20
23,1й Этаж Центр,1,Центр,20
24,1й Этаж Левый Коридор,1,Левое,13
25,1й Этаж Женский Туалет,1,Левое,13
26,Кабинет 18,1,Левое,15
27,Кабинет 16/2,1,Левое,16
28,Кабинет 16/1,1,Левое,16
29,Кабинет 17/1,1,Левое,14
30,Кабинет 17/2,1,Левое,14
31,1й Этаж Правый Коридор,1,Правое,25
32,1й Этаж Мужской туалет,1,Правое,25
33,1й Этаж Лифтовая,1,Центр,19
34,Кабинет 11/1,1,Правое,27
35,Кабинет 11/2,1,Правое,27
36,2й Этаж Центр,2,Центр,36
37,2й Этаж у лифта,2,Центр,36
38,2й Этаж Правый Коридор,2,Правое,40
39,2й Этаж Левый Коридор,2,Левое,30
40,2й Этаж Мужской Туалет,2,Правое,40
41,2й Этаж Женский Туалет,2,Левое,30
42,2й Этаж Серверная,2,Центр,33
43,Кабинет 24/2,2,Центр,37
44,Кабинет 24/1,2,Центр,37
45,2й Этаж Лифтовая,2,Центр,35
46,3й Этаж Центр,3,Центр,51
47,3й Этаж у лифта,3,Центр,51
48,3й Этаж Левый Коридор,3,Левое,45
49,3й Этаж Женский Туалет,3,Левое,45
50,Кабинет 38,3,Левое,46
51,Кабинет 36/1,3,Левое,47
52,Кабинет 36/2,3,Левое,47
53,3й Этаж Правый Коридор,3,Правое,55
54,Кабинет 33/1,3,Правое,56
55,Кабинет 33/2,3,Правое,56
56,Кабинет 34/1,3,Центр,52
57,Кабинет 34/2,3,Центр,52
58,Кабинет 31,3,Правое,57
59,3й Этаж Лифтовая,3,Центр,50
60,4й Этаж Центр,4,Центр,65
61,4й Этаж у лифта,4,Центр,65
62,4й Этаж Левый Коридор,4,Левое,60
63,4й Этаж Женский Туалет,4,Левое,60
64,4й Этаж Лифтовая,4,Центр,64
65,4й Этаж Правый Коридор,4,Правое,69
66,4й Этаж Мужской Туалет,4,Правое,69
67,Кабинет 44/1,4,Центр,66
68,Кабинет 44/2,4,Центр,66
69,Кабинет 43/1,4,Правое,70
70,Кабинет 43/2,4,Правое,70
71,3–4 Лестница Правое,3-4,Правое,54
72,2–3 Лестница Правое,2-3,Правое,39
73,1–2 Лестница Правое,1-2,Правое,24
74,4–5 Выход на Чердак Правое,4-5,Правое,68
75,3–4 Лестница Левое,3-4,Левое,43
76,2–3 Лестница Левое,2-3,Левое,28
77,1–2 Лестница Левое,1-2,Левое,12
78,4–5 Выход на Чердак Левое,4-5,Левое,58
79,3–4 Центральная лестница,3-4,Центр,49
80,2–3 Центральная лестница,2-3,Центр,34
81,1–2 Центральная лестница,1-2,Центр,18
82,0–1 Левая центр лестница,0-1,Центр,4
83,0–1 Правая центр лестница,0-1,Центр,4
84,Шлагбаум Приближенный,Улица,,72
85,Вход в IT-парк (движется),Улица,,72
86,Парковка Штаб,Улица,,72
87,Шлагбаум Штаб,Улица,,72
88,Задний двор Правый Угол,Улица,,72
89,Двор между 11 и 10 корпусами,Улица,,72
90,Улица переход 10 корпус,Улица,,72
91,Правый вход в IT-Park,Улица,,72
92,Левый вход в IT-Park (близко),Улица,,72
93,Правый вход в IT-Park (близко),Улица,,72
94,Камера за Штабом,Улица,,72
95,Левый вход в IT-Park,Улица,,72
96,Главный вход справа,Улица,,72
97,Задний двор правая часть,Улица,,72
98,Улица Правая Сторона,Улица,,72
99,3й Этаж Мужской Туалет,3,Правое,55
100,Кабинет 32/1,3,Правое,53
101,Кабинет 32/2,3,Правое,53
